GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.skillsync.auth,AuthServiceApplication,5,3,0,0,2,1,1,1,1,1
auth-service,com.skillsync.auth.security,UserDetailsServiceImpl,0,35,0,0,0,7,0,2,0,2
auth-service,com.skillsync.auth.security,JwtTokenProvider,0,113,0,0,0,31,0,10,0,10
auth-service,com.skillsync.auth.security,JwtAuthenticationFilter,2,88,3,11,0,18,3,6,0,2
auth-service,com.skillsync.auth.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
auth-service,com.skillsync.auth.exception,GlobalExceptionHandler,0,142,0,0,0,31,0,7,0,7
auth-service,com.skillsync.auth.enums,Role,0,21,0,0,0,4,0,1,0,1
auth-service,com.skillsync.auth.enums,OtpType,0,15,0,0,0,3,0,1,0,1
auth-service,com.skillsync.auth.config,SecurityConfig,108,8,0,0,9,2,3,2,3,2
auth-service,com.skillsync.auth.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
auth-service,com.skillsync.auth.config,OpenApiConfig,50,0,0,0,13,0,2,0,2,0
auth-service,com.skillsync.auth.controller,AuthController.CookieOptions,0,12,0,0,0,1,0,1,0,1
auth-service,com.skillsync.auth.controller,AuthController,158,415,14,50,38,96,29,34,15,16
auth-service,com.skillsync.auth.dto,OAuthRequest,18,0,0,0,1,0,1,0,1,0
auth-service,com.skillsync.auth.dto,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
auth-service,com.skillsync.auth.dto,UserSummary,0,18,0,0,0,1,0,1,0,1
auth-service,com.skillsync.auth.dto,RegisterRequest,0,15,0,0,0,1,0,1,0,1
auth-service,com.skillsync.auth.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
auth-service,com.skillsync.auth.dto,ForgotPasswordRequest,6,0,0,0,1,0,1,0,1,0
auth-service,com.skillsync.auth.dto,ResetPasswordRequest,12,0,0,0,1,0,1,0,1,0
auth-service,com.skillsync.auth.dto,AuthResponse,0,18,0,0,0,1,0,1,0,1
auth-service,com.skillsync.auth.dto,VerifyOtpRequest,0,9,0,0,0,1,0,1,0,1
auth-service,com.skillsync.auth.dto,SetupPasswordRequest,0,9,0,0,0,1,0,1,0,1
auth-service,com.skillsync.auth.dto,OAuthResponse,21,0,0,0,1,0,1,0,1,0
auth-service,com.skillsync.auth.dto,InitiateRegistrationRequest,6,0,0,0,1,0,1,0,1,0
auth-service,com.skillsync.auth.dto,VerifyPasswordResetOtpRequest,9,0,0,0,1,0,1,0,1,0
auth-service,com.skillsync.auth.dto,ResendOtpRequest,6,0,0,0,1,0,1,0,1,0
auth-service,com.skillsync.auth.dto,CompleteRegistrationRequest,15,0,0,0,1,0,1,0,1,0
auth-service,com.skillsync.auth.service,EmailService,24,266,5,21,3,56,5,14,0,6
auth-service,com.skillsync.auth.service,AuthService,828,242,47,5,176,59,52,8,27,7
auth-service,com.skillsync.auth.service,OtpService,35,260,8,16,4,62,11,12,3,8
