GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
session-service,com.skillsync.session.exception,GlobalExceptionHandler,84,30,0,0,19,8,4,3,4,3
session-service,com.skillsync.session.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
session-service,com.skillsync.session.event,PaymentCompletedEvent,36,0,0,0,1,0,1,0,1,0
session-service,com.skillsync.session.controller,ReviewController,0,42,0,0,0,8,0,6,0,6
session-service,com.skillsync.session.controller,SessionController,72,6,0,0,11,1,10,1,10,1
session-service,com.skillsync.session.service,ReviewService,0,288,0,14,0,46,0,17,0,10
session-service,com.skillsync.session.service,MentorMetricsService,0,119,0,6,0,26,0,5,0,2
session-service,com.skillsync.session,SessionServiceApplication,5,3,0,0,2,1,1,1,1,1
session-service,com.skillsync.session.dto,CreateSessionRequest,0,18,0,0,0,1,0,1,0,1
session-service,com.skillsync.session.dto,MentorMetricsResponse,0,21,0,0,0,1,0,1,0,1
session-service,com.skillsync.session.dto,SessionResponse,0,36,0,0,0,1,0,1,0,1
session-service,com.skillsync.session.dto,ReviewRequest,0,15,0,0,0,1,0,1,0,1
session-service,com.skillsync.session.dto,MentorRatingSummary,0,24,0,0,0,1,0,1,0,1
session-service,com.skillsync.session.dto,ReviewResponse,0,24,0,0,0,1,0,1,0,1
session-service,com.skillsync.session.dto,CreateReviewRequest,0,12,0,0,0,1,0,1,0,1
session-service,com.skillsync.session.service.command,SessionCommandService,30,585,4,46,3,144,6,40,2,19
session-service,com.skillsync.session.service.command,ReviewCommandService,26,318,6,26,8,72,5,20,0,9
session-service,com.skillsync.session.mapper,SessionMapper,0,27,0,0,0,6,0,1,0,1
session-service,com.skillsync.session.mapper,ReviewMapper,0,18,0,0,0,4,0,1,0,1
session-service,com.skillsync.session.service.query,SessionQueryService,0,117,1,9,0,26,1,15,0,11
session-service,com.skillsync.session.service.query,ReviewQueryService,5,72,0,2,1,15,1,8,1,7
session-service,com.skillsync.session.entity,Session,0,5,0,0,0,1,0,1,0,1
session-service,com.skillsync.session.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
session-service,com.skillsync.session.config,OpenApiConfig,50,0,0,0,13,0,2,0,2,0
session-service,com.skillsync.session.config,RabbitMQConfig,145,0,0,0,23,0,23,0,23,0
session-service,com.skillsync.session.enums,SessionStatus,0,58,0,0,0,9,0,2,0,2
session-service,com.skillsync.session.consumer,PaymentEventConsumer,213,0,12,0,40,0,10,0,4,0
