GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
skill-service,com.skillsync.skill.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
skill-service,com.skillsync.skill.config,RabbitMQConfig,40,0,0,0,7,0,7,0,7,0
skill-service,com.skillsync.skill.config,OpenApiConfig,33,0,0,0,8,0,2,0,2,0
skill-service,com.skillsync.skill.exception,GlobalExceptionHandler,0,114,0,0,0,27,0,7,0,7
skill-service,com.skillsync.skill.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
skill-service,com.skillsync.skill.service.command,SkillCommandService,0,199,0,2,0,40,0,8,0,7
skill-service,com.skillsync.skill.service,SkillService,0,150,0,2,0,21,0,12,0,11
skill-service,com.skillsync.skill.service.query,SkillQueryService,0,75,0,6,0,16,0,10,0,7
skill-service,com.skillsync.skill.event,SkillEvent,0,12,0,0,0,1,0,1,0,1
skill-service,com.skillsync.skill,SkillServiceApplication,5,3,0,0,2,1,1,1,1,1
skill-service,com.skillsync.skill.dto,SkillResponse,0,18,0,0,0,1,0,1,0,1
skill-service,com.skillsync.skill.dto,CreateSkillRequest,0,12,0,0,0,1,0,1,0,1
skill-service,com.skillsync.skill.mapper,SkillMapper,0,14,0,0,0,3,0,1,0,1
skill-service,com.skillsync.skill.controller,SkillController,0,46,0,0,0,8,0,7,0,7
