GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,com.skillsync.user.consumer,PaymentEventConsumer,5,127,1,11,1,26,1,9,0,4
user-service,com.skillsync.user.consumer,ReviewEventCacheSyncConsumer,23,82,3,5,5,17,3,4,0,3
user-service,com.skillsync.user.config,OpenApiConfig,50,0,0,0,13,0,2,0,2,0
user-service,com.skillsync.user.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
user-service,com.skillsync.user.config,RabbitMQConfig,128,0,0,0,20,0,20,0,20,0
user-service,com.skillsync.user.entity,UserSkill.Proficiency,0,21,0,0,0,2,0,1,0,1
user-service,com.skillsync.user.entity,GroupMember.MemberRole,0,21,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.controller,GroupController,11,143,0,0,1,23,1,16,1,16
user-service,com.skillsync.user.controller,MentorController,0,81,0,2,0,16,0,11,0,10
user-service,com.skillsync.user.controller,AdminController,7,169,0,4,2,44,0,11,0,9
user-service,com.skillsync.user.controller,UserController,16,19,0,0,4,3,2,3,2,3
user-service,com.skillsync.user.enums,MentorStatus,0,27,0,0,0,2,0,1,0,1
user-service,com.skillsync.user.exception,GlobalExceptionHandler,0,154,0,2,0,30,0,10,0,9
user-service,com.skillsync.user.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
user-service,com.skillsync.user.service.command,GroupCommandService,43,794,9,61,5,178,13,56,4,30
user-service,com.skillsync.user.service.command,UserCommandService,0,222,0,38,0,50,0,25,0,6
user-service,com.skillsync.user.service.command,MentorCommandService,23,687,0,28,2,158,4,31,4,17
user-service,com.skillsync.user.mapper,UserMapper,0,26,0,0,0,7,0,1,0,1
user-service,com.skillsync.user.mapper,MentorMapper,14,70,0,6,3,19,1,5,1,2
user-service,com.skillsync.user.mapper,GroupMapper,0,49,0,2,0,6,0,3,0,2
user-service,com.skillsync.user.dto,AdminStatsResponse,0,15,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,PostDiscussionRequest,0,12,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,GroupMemberResponse,0,21,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,ProfileResponse,0,39,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,DiscussionResponse,0,36,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,AddSkillRequest,0,9,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,GroupResponse,0,30,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,MentorProfileResponse,0,48,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,AvailabilitySlotResponse,0,18,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,CreateGroupRequest,0,15,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,UpdateProfileRequest,0,21,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,MentorApplicationRequest,0,15,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,AddGroupMemberRequest,0,6,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,SkillSummary,0,12,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,AvailabilitySlotRequest,0,12,0,0,0,1,0,1,0,1
user-service,com.skillsync.user.dto,UpdateGroupRequest,0,15,0,0,0,1,0,1,0,1
user-service,com.skillsync.user,UserServiceApplication,5,3,0,0,2,1,1,1,1,1
user-service,com.skillsync.user.service.query,GroupQueryService,11,302,6,16,2,66,6,21,0,16
user-service,com.skillsync.user.service.query,MentorQueryService,59,403,5,27,4,93,10,26,6,14
user-service,com.skillsync.user.service.query,UserQueryService,7,126,1,5,1,25,2,8,1,6
